date,invoice number,value,haircut percent,Daily fee percent,currency,Revenue source,customer,Expected payment duration
2021-12-27,3084,2505.803,10,0.125,USD,Happy Playcrows,RunUp INC,65
2023-05-22,3685,3250.450055,10,0.125,USD,AlexUndeR,RunUp INC,65
2022-01-01,3085,428.283,10,0.125,USD,Happy Playcrows,RunUp INC,65
2021-02-08,3542,2386.65,10,0.125,USD,Freewhere,RunUp INC,65
2023-06-01,3691,168.623,10,0.125,USD,Happy Playcrows,RunUp INC,65
2021-08-01,3163,248.93,10,0.125,USD,SpotX Replay,RunUp INC,65
2021-03-15,3543,3659.17,10,0.125,USD,Freewhere,RunUp INC,65
2021-03-15,3289,998.24282,10,0.125,USD,AlexUndeR,RunUp INC,65
2022-09-01,3381,2755.708868,10,0.125,USD,AlexUndeR,RunUp INC,65
2022-06-13,3558,17069.05,10,0.125,USD,Freewhere,RunUp INC,65
2021-12-20,3183,2933.85,10,0.125,USD,SpotX Replay,RunUp INC,65
2022-08-22,3225,1902.43,10,0.125,USD,SpotX Replay,RunUp INC,65
2021-08-16,3166,3251.16,10,0.125,USD,SpotX Replay,RunUp INC,65
2023-04-03,3573,1878.229235,10,0.125,USD,AlexUndeR,RunUp INC,65
2021-08-16,3548,1835.33,10,0.125,USD,Freewhere,RunUp INC,65
2022-01-31,3090,267.934,10,0.125,USD,Happy Playcrows,RunUp INC,65
2022-04-01,6108,17388,10,0.052,USD,SuperAmazing,RunUp INC,65
2023-02-27,6995,9703.4,10,0.07,GBP,OA KU,Revclifter,60
2023-02-27,6995,9703.4,10,0.07,GBP,OA KU,Genie Adventures,60
2023-02-27,6995,9703.4,10,0.07,GBP,OA KU,Genie Adventures,60
2023-02-27,6995,9703.4,10,0.07,GBP,OA KU,Playworks,60
2023-02-27,6995,9703.4,10,0.07,GBP,OA KU,David 007,60
2023-02-27,6995,9703.4,10,0.07,GBP,OA KU,PlayCrows,60
2023-02-27,6995,9703.4,10,0.07,GBP,OA KU,PlayCrows,60
2023-09-04,7083,30000,10,0.07,USD,TnT Internet ,RunUp INC,60
2023-06-05,3701,953.45,10,0.125,USD,SpotX Replay,RunUp INC,65
2023-04-17,3584,1535.66,10,0.125,USD,SpotX Replay,RunUp INC,65
2021-07-12,2140,8093.88,10,0.125,USD,Playwear,RunUp INC,60
2021-04-12,3544,3802.92,10,0.125,USD,Freewhere,RunUp INC,65
2022-09-01,2211,5360.64,10,0.125,USD,Playwear,RunUp INC,60
2021-05-17,3545,2978.89,10,0.125,USD,Freewhere,RunUp INC,65
2022-04-04,3100,552.165,10,0.125,USD,Happy Playcrows,RunUp INC,65
2022-10-24,6990,8721.36,10,0.07,GBP,OA KU,Revclifter,60
2022-10-24,6990,8721.36,10,0.07,GBP,OA KU,Genie Adventures,60
2022-10-24,6990,8721.36,10,0.07,GBP,OA KU,Test Affiliate A,60
2022-10-24,6990,8721.36,10,0.07,GBP,OA KU,Playworks,60
2022-10-24,6990,8721.36,10,0.07,GBP,OA KU,David 007,60
2022-10-24,6990,8721.36,10,0.07,GBP,OA KU,Playcrows,60
2022-10-24,6990,8721.36,10,0.07,GBP,OA KU,Playcrows,60
2021-09-13,3549,3933.42,10,0.125,USD,Freewhere,RunUp INC,65
2022-03-28,3098,2063.545,10,0.125,USD,Happy Playcrows,RunUp INC,65
2021-12-13,3569,19815.23412,10,0.125,USD,SuperAmazing,RunUp INC,60
2022-02-01,3091,1570.281,10,0.125,USD,Happy Playcrows,RunUp INC,65
2022-04-11,3101,1230.369,10,0.125,USD,Happy Playcrows,RunUp INC,65
2023-04-03,3575,8199.8622,10,0.125,USD,SuperAmazing,RunUp INC,60
2021-10-04,3325,2692.166163,10,0.125,USD,AlexUndeR,RunUp INC,65
2022-06-13,3440,4211.5464,10,0.125,USD,SuperAmazing,RunUp INC,60
2022-10-16,6488,5490.9855,5,0.048,USD,Google Inc,RunUp INC,2
2022-08-08,3377,8670.041743,10,0.125,USD,AlexUndeR,RunUp INC,65
2022-07-11,3373,6638.306895,10,0.125,USD,AlexUndeR,RunUp INC,65
2023-10-09,7064,3875.7174,10,0.125,USD,SuperAmazing,RunUp INC,60
2022-02-14,3093,1827.175,10,0.125,USD,Happy Playcrows,RunUp INC,65
2021-10-11,3550,6788.67,10,0.125,USD,Freewhere,RunUp INC,65
2023-01-01,3598,5822.4,10,0.126,USD,SkyLTD,RunUp INC,60
2021-12-13,3082,17445.477,10,0.125,USD,Happy Playcrows,RunUp INC,65
2023-08-01,6823,7910.12,10,0.125,USD,Index Playcrows,RunUp INC,60
2023-07-03,5133,6.42,10,0.125,USD,Happy Playcrows,RunUp INC,65
2021-10-18,3073,3037.922,10,0.125,USD,Happy Playcrows,RunUp INC,65
2023-09-01,6832,76399.62,10,0.126,USD,SkyLTD,RunUp INC,60
2021-12-13,3552,10126.71,10,0.125,USD,Freewhere,RunUp INC,65
2022-05-23,3364,4767.625262,10,0.125,USD,AlexUndeR,RunUp INC,65
2022-06-20,232,2281.904186,99,0.125,USD,automatic,RunUp INC,65
2023-01-01,3621,39657.6,10,0.126,USD,SkyLTD,RunUp INC,60
2022-11-01,6578,3831.0272,10,0.05,EUR,Improve Digital,Revclifter,2
2023-02-01,6503,5542.78725,5,0.048,USD,Google Inc,Revclifter,2
2021-09-20,2486,1183.03,99.5,0.125,USD,automatic,Revclifter,65
2022-07-07,6122,19706.4,10,0.052,USD,SuperAmazing,Revclifter,65
2022-06-06,3111,1855.452,10,0.125,USD,Happy Playcrows,Revclifter,65
2022-08-15,1127,3316.519757,99,0.125,USD,automatic,Revclifter,65
2022-06-01,3110,1250.946,10,0.125,USD,Happy Playcrows,Revclifter,65
2022-12-18,6145,18878.4,10,0.052,USD,SuperAmazing,Revclifter,65
2022-12-04,6407,40152.112,10,0.055,GBP,Facebook,Revclifter,2
2022-12-04,6407,40152.112,10,0.055,GBP,Facebook,Genie Adventures,2
2022-12-04,6407,40152.112,10,0.055,GBP,Facebook,Genie Adventures,2
2022-12-04,6407,40152.112,10,0.055,GBP,Facebook,Genie Adventures,2
2022-12-04,6407,40152.112,10,0.055,GBP,Facebook,Genie Adventures,2
2022-12-04,6407,40152.112,10,0.055,GBP,Facebook,Genie Adventures,2
2022-12-04,6407,40152.112,10,0.055,GBP,Facebook,Genie Adventures,2
2022-12-12,3399,6930.636712,10,0.125,USD,AlexUndeR,Genie Adventures,65
2022-05-16,3107,1527.29,10,0.125,USD,Happy Playcrows,Genie Adventures,65
2023-09-11,7085,178.756,10,0.07,USD, May Jewelers ,Genie Adventures,60
2022-01-17,3088,2095.032,10,0.125,USD,Happy Playcrows,Genie Adventures,65
2020-09-14,2474,326.62,99.5,0.125,USD,automatic,Genie Adventures,65
2022-03-14,3555,20002.18,10,0.125,USD,Freewhere,Genie Adventures,65
2023-06-12,7128,116583.516,10,0.07,USD, May Jewelers,Genie Adventures,60
2022-01-10,3187,1240.23,10,0.125,USD,SpotX Replay,Genie Adventures,65
2022-06-20,3113,3134.661,10,0.125,USD,Happy Playcrows,Genie Adventures,65
2020-12-21,3276,159.784597,10,0.125,USD,AlexUndeR,Genie Adventures,65
2023-10-01,6829,365.975711,99.5,0.125,USD,automatic,Revclifter,65
2022-08-22,1131,2474.682659,99,0.125,USD,automatic,Revclifter,65
2023-10-01,7163,9622.8,10,0.126,USD,SkyLTD,Revclifter,60
2023-09-04,7075,8880.58,10,0.07,GBP,Little cup,Revclifter,60
2023-09-04,7075,8880.58,10,0.07,GBP,Little cup,Revclifter,60
2023-09-04,7075,8880.58,10,0.07,GBP,Little cup,Revclifter,60
2023-09-04,7075,8880.58,10,0.07,GBP,Little cup,Revclifter,60
2023-09-04,7075,8880.58,10,0.07,GBP,Little cup,Revclifter,60
2023-09-04,7075,8880.58,10,0.07,GBP,Little cup,Revclifter,60
2023-09-04,7075,8880.58,10,0.07,GBP,Little cup,Revclifter,60
2020-11-30,3272,5.462403,10,0.125,USD,AlexUndeR,Revclifter,65
2023-06-12,3709,13754.1924,10,0.125,USD,SuperAmazing,Revclifter,60
2022-07-01,6473,5698.1925,5,0.048,USD,Google Inc,Revclifter,2
2022-04-11,3357,4499.09077,10,0.125,USD,AlexUndeR,Revclifter,65
2022-02-01,3623,19452,10,0.126,USD,SkyLTD,Revclifter,60
2022-11-01,3136,1733.631,10,0.125,USD,Happy Playcrows,Revclifter,65
2023-09-18,7086,420.804,10,0.07,USD, May Jewelers ,Revclifter,60
2022-06-27,3114,2099,10,0.125,USD,Happy Playcrows,Revclifter,65
2021-11-22,3332,4448.541686,10,0.125,USD,AlexUndeR,Revclifter,65
2021-09-13,3171,3955.53,10,0.125,USD,SpotX Replay,Revclifter,65
2022-12-26,6992,13491.66,10,0.07,GBP,OA KU,Revclifter,60
2022-12-26,6992,13491.66,10,0.07,GBP,OA KU,Genie Adventures,60
2022-12-26,6992,13491.66,10,0.07,GBP,OA KU,Genie Adventures,60
2022-12-26,6992,13491.66,10,0.07,GBP,OA KU,Genie Adventures,60
2022-12-26,6992,13491.66,10,0.07,GBP,OA KU,Genie Adventures,60
2022-12-26,6992,13491.66,10,0.07,GBP,OA KU,Genie Adventures,60
2022-12-26,6992,13491.66,10,0.07,GBP,OA KU,Genie Adventures,60
2023-07-01,6812,12519.91,10,0.125,USD,Index Playcrows,Genie Adventures,60
2023-09-04,7066,45000,10,0.07,USD,TnT Internet ,Genie Adventures,60
2023-02-06,6836,26.25,10,0.7,USD,Sam's bulb,Genie Adventures,60
2023-08-21,6853,0.5,10,0.7,USD,Sam's bulb,Genie Adventures,60
2023-07-24,6983,17550,10,0.07,USD,TnT Internet ,Genie Adventures,60
2022-02-07,3092,1323.077,10,0.125,USD,Happy Playcrows,Genie Adventures,65
2022-03-21,3097,2065.546,10,0.125,USD,Happy Playcrows,Genie Adventures,65
2021-06-14,3546,17843.56,10,0.125,USD,Freewhere,Genie Adventures,65
2022-11-14,2224,4246.6,10,0.125,USD,Playwear,Genie Adventures,60
2022-01-24,2173,13640.67,10,0.125,USD,Playwear,Genie Adventures,60
2022-07-18,3374,4955.496703,10,0.125,USD,AlexUndeR,Genie Adventures,65
2023-08-28,6815,2173.7724,10,0.125,USD,SuperAmazing,Genie Adventures,60
2023-09-04,7164,11758.36,10,0.07,GBP,Mars Parts,Revclifter,60
2023-09-04,7164,11758.36,10,0.07,GBP,Mars Parts,Genie Adventures,60
2023-09-04,7164,11758.36,10,0.07,GBP,Mars Parts,Test Affiliate A,60
2023-09-04,7164,11758.36,10,0.07,GBP,Mars Parts,Playworks,60
2023-09-04,7164,11758.36,10,0.07,GBP,Mars Parts,David test 2,60
2023-09-04,7164,11758.36,10,0.07,GBP,Mars Parts,Playcrows,60
2023-09-04,7164,11758.36,10,0.07,GBP,Mars Parts,Playcrows,60
2023-07-31,6984,150,10,0.07,USD,TnT Internet ,Playcrows,60
2023-05-01,3688,52203.6,10,0.126,USD,SkyLTD,Playcrows,60
2022-08-08,3121,2924.006,10,0.125,USD,Happy Playcrows,Playcrows,65
2023-09-04,7165,50094.46,10,0.07,GBP,Bo.com UK & IE,Playcrows,60
2023-09-04,7165,50094.46,10,0.07,GBP,Bo.com UK & IE,Playcrows,60
2023-09-04,7165,50094.46,10,0.07,GBP,Bo.com UK & IE,Playcrows,60
2023-09-04,7165,50094.46,10,0.07,GBP,Bo.com UK & IE,Playcrows,60
2023-09-04,7165,50094.46,10,0.07,GBP,Bo.com UK & IE,Playcrows,60
2023-09-04,7165,50094.46,10,0.07,GBP,Bo.com UK & IE,Playcrows,60
2023-09-04,7165,50094.46,10,0.07,GBP,Bo.com UK & IE,Playcrows,60
2023-03-24,6687,25900.875,10,0.05,EUR,Overdrone,Playcrows,2
2021-11-01,3179,1513.84,10,0.125,USD,SpotX Replay,Playcrows,65
2021-08-09,2145,4582,10,0.125,USD,Playwear,Playcrows,60
2022-10-10,3132,1557.268,10,0.125,USD,Happy Playcrows,Playcrows,65
2022-09-01,3125,1755.445,10,0.125,USD,Happy Playcrows,Playcrows,65
2023-06-01,3695,1555.007953,10,0.125,USD,AlexUndeR,Playcrows,65
2022-10-24,3134,1701.605,10,0.125,USD,Happy Playcrows,Playcrows,65
2022-10-01,3130,522.833,10,0.125,USD,Happy Playcrows,Playcrows,65
2022-03-14,3096,1590.603,10,0.125,USD,Happy Playcrows,Playcrows,65
2023-01-01,3606,19440,10,0.126,USD,SkyLTD,Playcrows,60
2022-10-03,3131,2178.14,10,0.125,USD,Happy Playcrows,Playcrows,65
2023-05-22,3683,1416.316,10,0.125,USD,Happy Playcrows,Playcrows,65
2022-11-14,3138,1732.917,10,0.125,USD,Happy Playcrows,Playcrows,65
2022-09-19,3128,5017.505,10,0.125,USD,Happy Playcrows,Playcrows,65
2022-11-21,3139,2116.233,10,0.125,USD,Happy Playcrows,Playcrows,65
2023-04-10,3578,1355.921,10,0.125,USD,Happy Playcrows,Playcrows,65
2021-05-17,2130,9749.77,10,0.125,USD,Playwear,Playcrows,60
2022-09-05,3126,3919.007,10,0.125,USD,Happy Playcrows,Playcrows,65
2022-12-05,6917,23112,10,0.7,USD,Costco ,Playcrows,60
2021-01-01,3643,4386.16,10,0.126,USD,SkyLTD,Playcrows,60
2022-06-27,2200,3509.19,10,0.125,USD,Playwear,Playcrows,60
2022-10-24,3236,9299.5,10,0.125,USD,SpotX Replay,Playcrows,65
2021-12-20,3083,12523.992,10,0.125,USD,Happy Playcrows,Playcrows,65
2023-09-11,6822,5703.9978,10,0.125,USD,SuperAmazing,Playcrows,60
2023-09-11,7087,10400,10,0.7,USD,Costco ,Playcrows,60
2023-02-13,6837,156.897,10,0.7,USD,Sam's bulb,Playcrows,60
2023-09-04,7067,731.16,10,0.07,USD, May Jewelers ,Playcrows,60
2022-11-01,3607,2412.78,10,0.125,USD,Index Playcrows,Playcrows,60
2021-12-05,6619,22585.563,10,0.05,EUR,Overdrone,Playcrows,2
2023-08-21,7131,8323.558,10,0.07,USD, May Jewelers,Playcrows,60
2023-10-23,7107,7277.7462,10,0.125,USD,SuperAmazing,Playcrows,60
2022-12-01,1490,1373.418729,99,0.125,USD,automatic,Playcrows,65
2023-03-01,3157,738.265,10,0.125,USD,Happy Playcrows,Playcrows,65
2022-11-07,3137,1821.429,10,0.125,USD,Happy Playcrows,Playcrows,65
2023-06-12,3705,46.92,10,0.125,USD,Happy Playcrows,Playcrows,65
2023-03-20,3160,945.352,10,0.125,USD,Happy Playcrows,Playcrows,65
2022-10-17,3562,104149.28,10,0.125,USD,Freewhere,Playcrows,65
2023-01-16,3149,784.899,10,0.125,USD,Happy Playcrows,Playcrows,65
2023-02-01,3152,152.644,10,0.125,USD,Happy Playcrows,Playcrows,65
2023-01-09,3148,675.945,10,0.125,USD,Happy Playcrows,Playcrows,65
2023-05-01,3599,666.175,10,0.125,USD,Happy Playcrows,Playcrows,65
2021-07-26,3162,1690.95,10,0.125,USD,SpotX Replay,Playcrows,65
2023-03-13,3159,1127.572,10,0.125,USD,Happy Playcrows,Playcrows,65
2023-03-06,3158,1083.893,10,0.125,USD,Happy Playcrows,Playcrows,65
2023-02-27,3156,317.335,10,0.125,USD,Happy Playcrows,Playcrows,65
2022-12-26,3145,1245.014,10,0.125,USD,Happy Playcrows,Playcrows,65
2023-05-15,3614,1628.23,10,0.125,USD,SpotX Replay,Playcrows,65
2022-07-25,3119,4308.083,10,0.125,USD,Happy Playcrows,Playcrows,65
2021-07-19,3161,863.27,10,0.125,USD,SpotX Replay,Playcrows,65
2022-03-07,3095,2150.353,10,0.125,USD,Happy Playcrows,Playcrows,65
2022-04-25,3103,1438.25,10,0.125,USD,Happy Playcrows,Playcrows,65
2021-07-12,3547,12411.84,10,0.125,USD,Freewhere,Playcrows,65
2023-04-01,3689,12953.75,10,0.125,USD,Index Playcrows,Playcrows,60
2020-12-07,3274,747.291826,10,0.125,USD,AlexUndeR,Playcrows,65
2023-08-14,6806,0.03,10,0.125,USD,Happy Playcrows,Playcrows,65
2022-04-01,3201,765.42,10,0.125,USD,SpotX Replay,Playcrows,65
2021-03-22,3290,861.982891,10,0.125,USD,AlexUndeR,Playcrows,65
2020-12-01,3622,11406.53,10,0.126,USD,SkyLTD,Playcrows,60
2023-02-27,6839,87.597,10,0.7,USD,Sam's bulb,Playcrows,60
2023-09-18,7069,631.206,10,0.07,USD, May Jewelers ,Playcrows,60
2023-09-11,7068,268.134,10,0.07,USD, May Jewelers ,Playcrows,60
2023-09-04,7089,6.314,10,0.06,USD,Sam's bulb,Playcrows,60
2023-06-19,7109,233.38,10,0.07,USD,Fierra,Playcrows,60
2023-04-10,3580,2527.932255,10,0.125,USD,AlexUndeR,Playcrows,65
2022-02-14,3554,10795.91,10,0.125,USD,Freewhere,Playcrows,65
2021-10-04,3175,1130.6,10,0.125,USD,SpotX Replay,Playcrows,65
2023-01-01,3625,5822.4,10,0.126,USD,SkyLTD,Playcrows,60
2021-09-27,3173,962,10,0.125,USD,SpotX Replay,Playcrows,65
2023-04-24,3594,1662.99,10,0.125,USD,SpotX Replay,Playcrows,65
2022-01-03,3186,1817.08,10,0.125,USD,SpotX Replay,Playcrows,65
2021-10-25,3178,1078.97,10,0.125,USD,SpotX Replay,Playcrows,65
2021-11-01,2159,22176.93,10,0.125,USD,Playwear,Playcrows,60
2021-12-06,3181,1666.94,10,0.125,USD,SpotX Replay,Playcrows,65
2022-10-17,3133,1692.329,10,0.125,USD,Happy Playcrows,Playcrows,65
2021-10-11,3176,2305.26,10,0.125,USD,SpotX Replay,Playcrows,65
2022-11-14,3563,17931.48,10,0.125,USD,Freewhere,Playcrows,65
2021-09-01,3169,2695.7,10,0.125,USD,SpotX Replay,Playcrows,65
2021-10-18,3177,979.61,10,0.125,USD,SpotX Replay,Playcrows,65
2021-12-01,3180,509.36,10,0.125,USD,SpotX Replay,Playcrows,65
2021-12-13,3182,2794.11,10,0.125,USD,SpotX Replay,Playcrows,65
2022-01-01,3185,644.84,10,0.125,USD,SpotX Replay,Playcrows,65
2021-11-15,3568,39475.31866,10,0.125,USD,SuperAmazing,Playcrows,60
2022-05-01,3104,211.77,10,0.125,USD,Happy Playcrows,Playcrows,65
2021-04-05,2123,2996.99,10,0.125,USD,Playwear,Playcrows,60
2023-09-18,7090,64.146,10,0.06,USD,Sam's bulb,Playcrows,60
2022-11-28,3140,598.456,10,0.125,USD,Happy Playcrows,Playcrows,65
2023-05-15,3613,1101.52,10,0.125,USD,Happy Playcrows,Playcrows,65
2023-03-01,6840,176.361,10,0.7,USD,Sam's bulb,Playcrows,60
2023-09-04,6818,0.015,10,0.125,USD,Happy Playcrows,Playcrows,65
2023-09-11,7070,15600,10,0.7,USD,Costco ,Playcrows,60
2023-07-17,7071,15000,10,0.7,USD,TnT Mobility ,Playcrows,60
2023-09-25,7091,15,10,0.06,USD,Sam's bulb,Playcrows,60
2023-09-04,7092,8880.58,10,0.07,GBP,Little cup,Playcrows,60
2023-09-04,7092,8880.58,10,0.07,GBP,Little cup,Playcrows,60
2023-09-04,7092,8880.58,10,0.07,GBP,Little cup,Playcrows,60
2023-09-04,7092,8880.58,10,0.07,GBP,Little cup,Playcrows,60
2023-09-04,7092,8880.58,10,0.07,GBP,Little cup,Playcrows,60
2023-09-04,7092,8880.58,10,0.07,GBP,Little cup,Playcrows,60
2023-09-04,7092,8880.58,10,0.07,GBP,Little cup,Playcrows,60
2022-06-13,3112,2996.902,10,0.125,USD,Happy Playcrows,Playcrows,65
2022-04-18,3204,1603.68,10,0.125,USD,SpotX Replay,Playcrows,65
2022-02-01,3191,681.01,10,0.125,USD,SpotX Replay,Playcrows,65
2022-02-14,3193,1273.68,10,0.125,USD,SpotX Replay,Playcrows,65
2021-12-27,3184,2325.71,10,0.125,USD,SpotX Replay,Playcrows,65
2022-07-01,3115,993.959,10,0.125,USD,Happy Playcrows,Playcrows,65
2022-01-31,3190,87.8,10,0.125,USD,SpotX Replay,Playcrows,65
2022-12-19,3144,1634.406,10,0.125,USD,Happy Playcrows,Playcrows,65
2022-12-01,3141,935.727,10,0.125,USD,Happy Playcrows,Playcrows,65
2023-05-29,3698,5942.3958,10,0.125,USD,SuperAmazing,Playcrows,60
2022-08-01,3120,4388.913,10,0.125,USD,Happy Playcrows,Playcrows,65
2022-03-14,3198,757.28,10,0.125,USD,SpotX Replay,Playcrows,65
2023-06-12,3706,444.59,10,0.125,USD,SpotX Replay,Playcrows,65
2022-02-07,3192,687.87,10,0.125,USD,SpotX Replay,Playcrows,65
2022-04-04,3202,2077.98,10,0.125,USD,SpotX Replay,Playcrows,65
2021-08-09,3165,2766.13,10,0.125,USD,SpotX Replay,Playcrows,65
2022-03-28,3200,604.97,10,0.125,USD,SpotX Replay,Playcrows,65
2022-04-01,3099,235.388,10,0.125,USD,Happy Playcrows,Playcrows,65
2022-12-12,3143,1602.616,10,0.125,USD,Happy Playcrows,Playcrows,65
2023-04-24,3595,2420.00437,10,0.125,USD,AlexUndeR,Playcrows,65
2023-05-01,3601,1911.123905,10,0.125,USD,AlexUndeR,Playcrows,65
2022-10-01,3232,428.12,10,0.125,USD,SpotX Replay,Playcrows,65
2021-04-01,3635,3500.8,10,0.126,USD,SkyLTD,Playcrows,60
2023-05-08,3612,3949.308,10,0.125,USD,SuperAmazing,Playcrows,60
2021-10-25,2158,25305.8,10,0.125,USD,Playwear,Playcrows,60
2022-11-07,3239,13987.93,10,0.125,USD,SpotX Replay,Playcrows,65
2023-03-13,6996,30.86,10,0.07,GBP,OA KU,Playcrows,60
2023-03-13,6996,30.86,10,0.07,GBP,OA KU,Genie Adventures,60
2023-03-13,6996,30.86,10,0.07,GBP,OA KU,Genie Adventures,60
2023-03-13,6996,30.86,10,0.07,GBP,OA KU,Genie Adventures,60
2023-03-13,6996,30.86,10,0.07,GBP,OA KU,Genie Adventures,60
2023-03-13,6996,30.86,10,0.07,GBP,OA KU,Genie Adventures,60
2023-03-13,6996,30.86,10,0.07,GBP,OA KU,Genie Adventures,60
2023-09-11,7093,9769.38,10,0.07,GBP,Little cup,Genie Adventures,60
2023-09-11,7093,9769.38,10,0.07,GBP,Little cup,Genie Adventures,60
2023-09-11,7093,9769.38,10,0.07,GBP,Little cup,Genie Adventures,60
2023-09-11,7093,9769.38,10,0.07,GBP,Little cup,Genie Adventures,60
2023-09-11,7093,9769.38,10,0.07,GBP,Little cup,Genie Adventures,60
2023-09-11,7093,9769.38,10,0.07,GBP,Little cup,Genie Adventures,60
2023-09-11,7093,9769.38,10,0.07,GBP,Little cup,Genie Adventures,60
2023-03-06,6841,236.999,10,0.7,USD,Sam's bulb,David 007,60
2023-09-04,7072,6.314,10,0.06,USD,Sam's bulb,David 008,60
2023-06-12,7111,167808,10,0.07,USD,Costco,David 009,60
2023-08-14,7134,1251.777,10,0.07,USD,Mom's Club,David 010,60
2023-10-23,7135,153.762,10,0.07,USD,Mom's Club,David 011,60
2022-10-09,6135,18878.4,10,0.052,USD,SuperAmazing,David 012,65
2022-10-17,1149,2818.313705,99,0.125,USD,automatic,David 013,65
2022-05-13,6114,17222.4,10,0.052,USD,SuperAmazing,David 014,65
2022-06-17,6119,16725.6,10,0.052,USD,SuperAmazing,David 015,65
2023-03-01,3627,54065.71,10,0.126,USD,SkyLTD,David 016,60
2023-04-01,3628,56851.2,10,0.126,USD,SkyLTD,David 017,60
2023-01-02,3147,983.265,10,0.125,USD,Happy Playcrows,David 018,65
2022-05-23,3210,1156.96,10,0.125,USD,SpotX Replay,David 019,65
2022-06-20,3215,1745.46,10,0.125,USD,SpotX Replay,David 020,65
2022-08-01,3222,1696.36,10,0.125,USD,SpotX Replay,David 021,65
2022-07-14,6123,18547.2,10,0.052,USD,SuperAmazing,David 022,65
2022-07-01,3217,811.36,10,0.125,USD,SpotX Replay,David 023,65
2023-02-06,3153,302.602,10,0.125,USD,Happy Playcrows,David 024,65
2020-11-16,2476,527.01,99.5,0.125,USD,automatic,David 025,65
2022-05-16,3209,1108.16,10,0.125,USD,SpotX Replay,David 026,65
2022-06-01,3212,1120.1,10,0.125,USD,SpotX Replay,David 027,65
2022-07-25,3221,1284.63,10,0.125,USD,SpotX Replay,David 028,65
2022-12-05,3142,1533.611,10,0.125,USD,Happy Playcrows,David 029,65
2022-04-01,3624,10270.8,10,0.126,USD,SkyLTD,David 030,60
2022-04-25,3205,1040.83,10,0.125,USD,SpotX Replay,David 031,65
2022-06-27,3216,1063.04,10,0.125,USD,SpotX Replay,David 032,65
2023-09-18,7094,12606.1,10,0.07,GBP,Little cup,David 033,60
2023-09-18,7094,12606.1,10,0.07,GBP,Little cup,David 034,60
2023-09-18,7094,12606.1,10,0.07,GBP,Little cup,David 035,60
2023-09-18,7094,12606.1,10,0.07,GBP,Little cup,David 036,60
2023-09-18,7094,12606.1,10,0.07,GBP,Little cup,David 037,60
2023-09-18,7094,12606.1,10,0.07,GBP,Little cup,David 038,60
2023-09-18,7094,12606.1,10,0.07,GBP,Little cup,David 039,60
2021-05-31,3302,98.787217,10,0.125,USD,AlexUndeR,David 040,65
